,downsample,final_acc,avg_acc,total_training_time,avg_training_time,mutual_information
0,0.0,82.75,81.6736,836.6266050338745,8.366266050338744,1059.6634733096073
1,0.01,82.06,81.63940000000001,638.9839732646942,6.3898397326469425,781.36829922987
2,0.02,82.62,81.67750000000004,567.1755907535553,5.671755907535553,681.9173965188807
3,0.05,82.13000000000001,81.4382,409.8834664821625,4.0988346648216245,483.41178442605127
4,0.1,82.25,81.40719999999999,304.5066921710968,3.045066921710968,322.32323516174625
5,0.15,82.39999999999999,81.1663,246.3888430595398,2.463888430595398,228.89142088837986
6,0.2,82.15,81.09499999999998,206.53053069114685,2.0653053069114686,170.00282479230395
7,0.25,81.99,80.78370000000001,177.0631968975067,1.7706319689750671,128.04475650180228
8,0.3,81.04,80.1796,148.54072546958923,1.4854072546958923,90.70887856699626
9,0.35,80.36999999999999,79.2559,124.37991261482239,1.243799126148224,59.914645471079815
10,0.4,78.34,78.04509999999998,107.15733766555786,1.0715733766555786,38.73841737925924
11,0.45,76.75,76.57189999999997,81.98761510848999,0.8198761510848999,11.966066280944464
