,downsample,final_acc,avg_acc,total_training_time,avg_training_time,mutual_information
0,0.0,87.32,86.01512499999997,582.0425133705139,7.275531417131424,350.5621307739105
1,0.01,87.98,86.06637499999998,582.0365080833435,7.275456351041794,349.7549674916825
2,0.02,87.07000000000001,85.85687500000004,582.3875799179077,7.279844748973846,348.89430391947553
3,0.05,86.94,85.79399999999998,551.0347790718079,6.887934738397599,330.14881049874595
4,0.1,86.72,85.425625,378.23998069763184,4.727999758720398,225.89718362661765
5,0.15,86.36,84.90925,229.44359159469604,2.8680448949337007,120.91543180344769
6,0.2,85.6,84.347875,151.320955991745,1.8915119498968125,54.80267780475103
7,0.25,84.02,83.674125,104.45791959762573,1.3057239949703217,22.268921873354333
8,0.3,83.67,82.75387500000005,75.69685554504395,0.9462106943130493,7.401186935721112
9,0.35,81.74,81.60825000000003,61.42779779434204,0.7678474724292755,2.262027558978251
10,0.4,80.43,79.98975000000003,53.158382177352905,0.6644797772169113,0.23065063512646614
11,0.45,70.81,74.17112499999999,49.087751388549805,0.6135968923568725,-0.36030804358307406
