,downsample,final_acc,avg_acc,total_training_time,avg_training_time,mutual_information
0,0.0,62.6,59.45916666666667,317.38552594184875,5.28975876569748,279.9803385253285
1,0.01,62.1,59.67499999999999,221.50074982643127,3.6916791637738546,139.35753080436325
2,0.02,61.7,60.0708333333333,217.5649516582489,3.6260825276374815,131.82310200381
3,0.05,62.1,59.000833333333325,210.2682671546936,3.504471119244893,119.97170126332642
4,0.1,61.3,59.100833333333334,200.43604731559753,3.3406007885932922,102.49088960495602
5,0.15,59.550000000000004,58.822499999999984,184.62061405181885,3.077010234196981,73.51110209349099
6,0.2,61.1,58.69416666666667,169.04629564285278,2.817438260714213,47.31001599553587
7,0.25,59.8,57.99333333333334,158.09639048576355,2.6349398414293925,29.62153576136827
8,0.3,58.4,57.40416666666667,148.81971883773804,2.480328647295634,16.913186434359538
9,0.35,58.199999999999996,56.48833333333335,139.65778517723083,2.327629752953847,6.952574939132838
