experiment_name,id,teacher_num_clauses,student_num_clauses,T,s,teacher_epochs,student_epochs,weighted_clauses,number_of_state_bits,mutual_info_sd,mutual_info_td
IMDB_1,IMDB_1_tnc1000_snc250_T8000_s10.0_te15_se15,1000,250,8000,10.0,15,15,True,8,0.6912683844399103,0.3401048479527501
IMDB_0,IMDB_0_tnc500_snc100_T8000_s10.0_te15_se15,500,100,8000,10.0,15,15,True,8,0.6928980686736813,0.30394516689536066
Fashion_MNIST_3,Fashion_MNIST_3_tnc2400_snc400_T10_s5_te30_se30,2400,400,10,5.0,30,30,True,8,2.2396842768470058,1.6170736569961597
IMDB_3,IMDB_3_tnc3000_snc500_T8000_s10.0_te15_se15,3000,500,8000,10.0,15,15,True,8,0.6813410001374532,0.3785017262698737
CIFAR-10_1,CIFAR-10_1_tnc800_snc100_T500_s5_te30_se30,800,100,500,5.0,30,30,True,8,0.25665778311210485,0.07669758105709341
KMNIST_3,KMNIST_3_tnc2400_snc400_T600_s5_te30_se30,2400,400,600,5.0,30,30,True,8,2.2994982050962913,1.691150491841044
KMNIST_1,KMNIST_1_tnc800_snc100_T600_s5_te30_se30,800,100,600,5.0,30,30,True,8,2.298508034019525,1.4570871921182265
CIFAR-10_0,CIFAR-10_0_tnc400_snc100_T500_s5_te30_se30,400,100,500,5.0,30,30,True,8,0.5328860294880595,0.09147693310881282
Fashion_MNIST_2,Fashion_MNIST_2_tnc1600_snc400_T10_s5_te30_se30,1600,400,10,5.0,30,30,True,8,2.2352992184937976,1.5991038040999896
CIFAR-10_2,CIFAR-10_2_tnc1600_snc400_T500_s5_te30_se30,1600,400,500,5.0,30,30,True,8,0.5611993466339482,0.21021284681323482
IMDB_4,IMDB_4_tnc2000_snc1000_T8000_s10.0_te15_se15,2000,1000,8000,10.0,15,15,True,8,0.6820951241790787,0.3987611746702902
KMNIST_0,KMNIST_0_tnc400_snc100_T600_s5_te30_se30,400,100,600,5.0,30,30,True,8,2.299046258908732,1.4552594111890444
MNIST_0,MNIST_0_tnc400_snc100_T10_s5_te30_se30,400,100,10,5.0,30,30,True,8,2.296186313232889,1.7330809327761407
Fashion_MNIST_0,Fashion_MNIST_0_tnc400_snc100_T10_s5_te30_se30,400,100,10,5.0,30,30,True,8,2.2555364359513157,1.4764256695834581
Fashion_MNIST_1,Fashion_MNIST_1_tnc800_snc100_T10_s5_te30_se30,800,100,10,5.0,30,30,True,8,2.2727198632825716,1.5790395688949765
MNIST_1,MNIST_1_tnc800_snc100_T10_s5_te30_se30,800,100,10,5.0,30,30,True,8,2.2974465995722304,1.7512701067961922
MNIST_3,MNIST_3_tnc2400_snc400_T10_s5_te30_se30,2400,400,10,5.0,30,30,True,8,2.2958031313712257,1.9374349305110274
KMNIST_2,KMNIST_2_tnc1600_snc400_T600_s5_te30_se30,1600,400,600,5.0,30,30,True,8,2.3011852856155643,1.697646424434763
IMDB_2,IMDB_2_tnc2000_snc250_T8000_s10.0_te15_se15,2000,250,8000,10.0,15,15,True,8,0.6928705598526659,0.30708692851760017
MNIST_2,MNIST_2_tnc1600_snc400_T10_s5_te30_se30,1600,400,10,5.0,30,30,True,8,2.2962196714132634,1.876085197464732
CIFAR-10_3,CIFAR-10_3_tnc2400_snc400_T500_s5_te30_se30,2400,400,500,5.0,30,30,True,8,0.6184276316272692,0.25726822525375703
