,downsample,final_acc,avg_acc,total_training_time,avg_training_time,mi_true_distilled
0,0.0,87.38,85.97462500000003,556.0492210388184,6.950615262985229,1.680095203222109
1,0.01,87.51,85.9025,551.9633893966675,6.899542367458343,0.004238818624038568
2,0.02,87.47,86.07224999999997,553.8406138420105,6.923007673025131,0.0037079618761122965
3,0.05,87.37,85.95250000000001,527.6166679859161,6.5952083498239515,0.004341261120654208
4,0.1,86.83,85.46287499999998,346.9572606086731,4.3369657576084135,0.00492743472978931
5,0.15,86.49,84.82662499999999,200.60857629776,2.5076072037220003,0.0034711909501690345
6,0.2,85.32,84.4625,130.24212169647217,1.6280265212059022,0.005421357608033051
7,0.25,84.27,83.766875,87.64450192451477,1.0955562740564346,0.0034079465991239295
8,0.3,83.00999999999999,82.95925000000003,61.897011041641235,0.7737126380205155,0.002919911189337809
9,0.35,81.73,81.51749999999996,48.3240270614624,0.60405033826828,0.0034653920394277157
10,0.4,78.34,79.19174999999998,41.59426498413086,0.5199283123016357,0.003940470174925405
11,0.45,66.25,71.04774999999998,39.15939426422119,0.4894924283027649,0.0042470579618775145
