,downsample,final_acc,avg_acc,total_training_time,avg_training_time,I_distilled
0,0.0,98.02,97.60766666666665,2731.331624031067,30.348129155900743,-8.405621415759132e-07
1,0.01,98.3,97.65311111111106,2736.947430372238,30.41052700413598,-8.411554941269732e-07
2,0.02,98.17,97.61333333333336,2717.545624732971,30.194951385921904,-8.439359163744856e-07
3,0.05,98.0,97.63588888888889,2502.7544362545013,27.808382625050015,-9.010218014061051e-07
4,0.1,98.0,97.60677777777782,1717.7049107551575,19.085610119501748,-1.2315030624828167e-06
5,0.15,98.21,97.61144444444443,1077.3549218177795,11.970610242419772,-1.8116718448526012e-06
6,0.2,98.06,97.54644444444445,640.338844537735,7.114876050419277,-2.929635492926638e-06
7,0.25,98.04,97.49066666666668,327.8846116065979,3.6431623511844213,-5.043558138819723e-06
8,0.3,98.04,97.37122222222224,174.27361011505127,1.936373445722792,-8.85639784870634e-06
9,0.35,97.56,97.14355555555555,120.28952193260193,1.336550243695577,-1.631146398572588e-05
10,0.4,97.16,96.88100000000003,96.64025020599365,1.073780557844374,-3.145096957050698e-05
11,0.45,96.71,96.35944444444445,83.99398350715637,0.9332664834128486,-6.621443405368065e-05
