,downsample,final_acc,avg_acc,total_training_time,avg_training_time,I_distilled
0,0.0,98.13,97.64966666666668,2870.010704755783,31.88900783061981,-9.530120822224995e-07
1,0.01,98.14,97.66655555555549,2853.2935445308685,31.70326160589854,-9.549357928445155e-07
2,0.02,98.05,97.63688888888889,2849.3134412765503,31.659038236406115,-9.603649861794363e-07
3,0.05,98.02,97.64733333333332,2584.8837010860443,28.72093001206716,-1.0348114572646414e-06
4,0.1,98.08,97.61933333333332,1848.0426862239838,20.53380762471093,-1.422785140799067e-06
5,0.15,97.83,97.52866666666661,1189.5383398532867,13.21709266503652,-2.170697080381975e-06
6,0.2,97.98,97.50177777777782,677.6917691230774,7.529908545811971,-3.583674689626724e-06
7,0.25,97.88,97.45199999999998,409.5839328765869,4.550932587517632,-6.3675883714747485e-06
8,0.3,97.71,97.3011111111111,297.5337555408478,3.3059306171205307,-1.1705625316503986e-05
9,0.35,97.53,97.10600000000001,256.9336168766022,2.8548179652955796,-2.1722796321325354e-05
10,0.4,97.35000000000001,96.906,234.55078721046448,2.6061198578940497,-4.0547302778178265e-05
11,0.45,96.92,96.54111111111112,219.2328906059265,2.4359210067325168,-9.528406206792321e-05
