,acc_test_teacher,acc_test_student,acc_test_distilled,time_train_teacher,time_train_student,time_train_distilled,time_test_teacher,time_test_student,time_test_distilled
0,84.04,82.62,84.04,1.908442735671997,0.3987727165222168,1.908442735671997,0.40096569061279297,0.05524086952209473,0.40096569061279297
1,88.14,85.61,88.14,1.3670954704284668,0.34181952476501465,1.3670954704284668,0.3954195976257324,0.05536174774169922,0.3954195976257324
2,88.62,83.98,88.62,1.2044084072113037,0.3340752124786377,1.2044084072113037,0.3946573734283447,0.06682682037353516,0.3946573734283447
3,90.36,82.39,90.36,1.1470611095428467,0.3514552116394043,1.1470611095428467,0.3940417766571045,0.05972743034362793,0.3940417766571045
4,90.63,85.82,90.63,1.0732295513153076,0.3231627941131592,1.0732295513153076,0.38997793197631836,0.06417989730834961,0.38997793197631836
5,91.64,86.11999999999999,91.64,1.0681190490722656,0.31451964378356934,1.0681190490722656,0.39438724517822266,0.06303906440734863,0.39438724517822266
6,92.21000000000001,85.06,92.21000000000001,1.0277631282806396,0.3277571201324463,1.0277631282806396,0.3998219966888428,0.06018471717834473,0.3998219966888428
7,92.74,87.12,92.74,0.9895298480987549,0.313640832901001,0.9895298480987549,0.3942885398864746,0.06084752082824707,0.3942885398864746
8,93.06,88.4,93.06,0.9688012599945068,0.3059415817260742,0.9688012599945068,0.40136003494262695,0.05974864959716797,0.40136003494262695
9,92.10000000000001,88.23,92.10000000000001,0.9353816509246826,0.3090794086456299,0.9353816509246826,0.40077877044677734,0.0733492374420166,0.40077877044677734
10,93.15,86.31,93.15,0.962348222732544,0.3304901123046875,0.962348222732544,0.40803027153015137,0.05778050422668457,0.40803027153015137
11,93.52000000000001,88.7,93.52000000000001,0.9337410926818848,0.30502963066101074,0.9337410926818848,0.41499805450439453,0.062059879302978516,0.41499805450439453
12,93.72,86.72,93.72,0.9288318157196045,0.31302499771118164,0.9288318157196045,0.40970373153686523,0.05641937255859375,0.40970373153686523
13,94.25,88.87,94.25,0.921454906463623,0.30440402030944824,0.921454906463623,0.42505812644958496,0.06024456024169922,0.42505812644958496
14,93.93,87.12,93.93,0.9034161567687988,0.3063650131225586,0.9034161567687988,0.40604352951049805,0.05578255653381348,0.40604352951049805
15,93.77,88.62,93.77,0.8974106311798096,0.29845237731933594,0.8974106311798096,0.41252851486206055,0.05513119697570801,0.41252851486206055
16,93.28,84.86,93.28,0.9031527042388916,0.30744409561157227,0.9031527042388916,0.41403627395629883,0.06562209129333496,0.41403627395629883
17,93.45,86.95,93.45,0.8730685710906982,0.31053876876831055,0.8730685710906982,0.4145491123199463,0.06551170349121094,0.4145491123199463
18,93.93,89.28,93.93,0.8876116275787354,0.29813051223754883,0.8876116275787354,0.4074535369873047,0.055629730224609375,0.4074535369873047
19,93.95,88.44999999999999,93.95,0.8761565685272217,0.30400872230529785,0.8761565685272217,0.4179871082305908,0.056592702865600586,0.4179871082305908
20,93.85,89.3,93.85,0.8531205654144287,0.30278515815734863,0.8531205654144287,0.4227604866027832,0.05901670455932617,0.4227604866027832
21,94.26,88.91,94.26,0.8433289527893066,0.29566359519958496,0.8433289527893066,0.41309404373168945,0.06200265884399414,0.41309404373168945
