,downsample,final_acc,avg_acc,total_training_time,avg_training_time,I_distilled
0,0.0,88.836,88.89379999999997,3862.80966091156,32.190080507596335,-4.376097503019553e-07
1,0.01,88.856,88.91940000000002,3846.7790048122406,32.056491706768675,-4.3765101527847477e-07
2,0.02,88.732,88.89983333333333,3871.690129518509,32.26408441265424,-4.3767165076829237e-07
3,0.05,88.96,88.98026666666667,3887.24814081192,32.393734506766,-4.3785746027632023e-07
4,0.1,88.864,88.93253333333334,3894.7423977851868,32.456186648209886,-4.387682030872813e-07
5,0.15,88.63600000000001,88.84663333333334,3928.0302255153656,32.73358521262805,-4.5081912751092246e-07
6,0.2,88.912,88.91206666666669,3721.1682963371277,31.0097358028094,-5.12070584977829e-07
7,0.25,88.388,88.66006666666668,2611.0656266212463,21.758880221843718,-8.698810565498678e-07
8,0.3,86.92800000000001,87.67196666666669,1676.8174986839294,13.973479155699412,-2.8797046841822724e-06
9,0.35,81.664,84.04119999999999,1557.875902414322,12.982299186786015,-1.5686404475792562e-05
